iter	Logloss
0	0.6593606567
1	0.636577034
2	0.616044693
3	0.5884075546
4	0.5711371613
5	0.5526890564
6	0.5274645996
7	0.5144503021
8	0.4967218018
9	0.4720716095
10	0.4555311584
11	0.4430915833
12	0.4265193939
13	0.4039681244
14	0.3939706039
15	0.3849966431
16	0.3703205109
17	0.3568105316
18	0.34327034
19	0.3292843246
20	0.3151178741
21	0.3073465729
22	0.2992797089
23	0.2912971497
24	0.2780025101
25	0.2610843658
26	0.2552944946
27	0.2499235535
28	0.2409087753
29	0.236152916
30	0.2265771103
31	0.2203994751
32	0.2085099411
33	0.2033286285
34	0.1945377922
35	0.1835373306
36	0.1798482323
37	0.1727079773
38	0.1635285759
39	0.1596388721
40	0.1547914124
41	0.1496426678
42	0.1458760071
43	0.1401929855
44	0.1362882042
45	0.1326311016
46	0.1259502316
47	0.1215887356
48	0.1185698605
49	0.1110853767
50	0.1062002277
51	0.1022026539
52	0.09773878098
53	0.09398722649
54	0.09093938828
55	0.08881746292
56	0.08766956329
57	0.08503533363
58	0.08212863922
59	0.08119150162
60	0.07888795853
61	0.07668570518
62	0.07439147472
63	0.07255225658
64	0.07111248016
65	0.06999141216
66	0.06804063797
67	0.06708143234
68	0.06531029224
69	0.06406973839
70	0.06259982109
71	0.06205165863
72	0.06088724613
73	0.05879453182
74	0.05778454781
75	0.05630645752
76	0.05482000351
77	0.05242383957
78	0.0514031601
79	0.05083909988
80	0.05051326752
81	0.04997136116
82	0.04920480728
83	0.04810963154
84	0.04604982376
85	0.04575530052
86	0.04439824581
87	0.04326825142
88	0.0424040699
89	0.04162748337
90	0.04135178566
91	0.04068897247
92	0.04010864258
93	0.038493011
94	0.03804515362
95	0.03763501644
96	0.03708605766
97	0.03657374859
98	0.03595462799
99	0.03511664867
