iter	Passed	Remaining
0	6434	379626
1	12909	374384
2	19353	367712
3	25875	362262
4	32870	361573
5	39404	354644
6	45520	344652
7	51473	334580
8	57887	328031
9	64431	322156
10	70792	315347
11	76929	307716
12	83666	302485
13	90384	296976
14	97111	291335
15	103538	284731
16	109829	277805
17	115989	270641
18	123491	266481
19	130350	260701
20	136522	253541
21	143197	247341
22	149652	240745
23	156454	234682
24	162789	227905
25	169384	221503
26	175955	215056
27	182687	208785
28	189525	202596
29	196163	196163
30	202728	189649
31	209562	183367
32	215624	176420
33	222405	170074
34	228653	163324
35	235077	156718
36	241502	150123
37	248087	143629
38	254411	136990
39	260979	130489
40	267406	123920
41	274218	117522
42	280407	110858
43	286490	104178
44	293068	97689
45	299310	91094
46	305610	84530
47	312023	78005
48	318268	71448
49	324535	64907
50	330953	58403
51	337415	51910
52	343979	45431
53	350187	38909
54	356559	32414
55	362746	25910
56	369197	19431
57	375461	12946
58	381874	6472
59	388580	0
