iter	RMSE
328	1479152.679
329	1478905.357
330	1478223.807
331	1478015.869
332	1477627.681
333	1477210.005
334	1476983.936
335	1476763.308
336	1476451.372
337	1476029.809
338	1475801.134
339	1475688.361
340	1475260.03
341	1474668.945
342	1474400.366
343	1473871.931
344	1473626.806
345	1473454.271
346	1472898.418
347	1472593.24
348	1472281.054
349	1472119.642
350	1471836.966
351	1471709.421
352	1471286.101
353	1471030.019
354	1470884.33
355	1470578.877
356	1470059.311
357	1469939.635
358	1469712.602
359	1469326.986
360	1469042.23
361	1468848.93
362	1468517.264
363	1468231.039
364	1467780.969
365	1467307.607
366	1467042.221
367	1466845.113
368	1466470.602
369	1466289.823
370	1465956.246
371	1465795.794
372	1465690.22
373	1465547.247
374	1465338.909
375	1464960.864
376	1464700.127
377	1464601.948
378	1464509.533
379	1464076.809
380	1463737.242
381	1463390.517
382	1462790.148
383	1462714.799
384	1462265.513
385	1461710.422
386	1461482.821
387	1460961.676
388	1460828.55
389	1460557.169
390	1460255.348
391	1459902.045
392	1459526.116
393	1459281.403
394	1459051.941
395	1458732.926
396	1458410.458
397	1457957.441
398	1457794.494
399	1457492.321
400	1457277.296
401	1456719.026
402	1456512.361
403	1456382.088
404	1456058.91
405	1455747.468
406	1455437.558
407	1455178.937
408	1455026.559
409	1454267.29
410	1453932.475
411	1453768.62
412	1453574.496
413	1453369.263
414	1453144.591
415	1452938.849
416	1452585.908
417	1452305.328
418	1452131.772
419	1451766.719
420	1451394.21
421	1451093.371
422	1450695.322
423	1450405.769
424	1450140.559
425	1449880.263
426	1449734.388
427	1449473.987
428	1449233.36
429	1449064.039
430	1448645.635
431	1448442.361
432	1448061.166
433	1447800.743
434	1447425.549
435	1447115.008
436	1446836.476
437	1446653.245
438	1446395.444
439	1446135.646
440	1445829.286
441	1445668.662
442	1445378.903
443	1445214.011
444	1444768.468
445	1444355.176
446	1444018.825
447	1443872.879
448	1443596.374
449	1443486.885
450	1443229.715
451	1442919.187
452	1442573.122
453	1442371.408
454	1442202.841
455	1441885.588
456	1441693.7
457	1441434.034
458	1441130.42
459	1440816.411
460	1440711.596
461	1440428.096
462	1440259.912
463	1440105.583
464	1439686.389
465	1439531.663
466	1439219.052
467	1438593.985
468	1438292.799
469	1438119.742
470	1437687.633
471	1437283.717
472	1436889.394
473	1436501.99
474	1436318.908
475	1436140.881
476	1435951.801
477	1435756.674
478	1435528.815
479	1435311.142
480	1435106.192
481	1434726.702
482	1434486.539
483	1434351.951
484	1434162.746
485	1433848.695
486	1433483.597
487	1433347.222
488	1433220.428
489	1433054.217
490	1432733.639
491	1432672.473
492	1432458.182
493	1432237.576
494	1431947.555
495	1431792.167
496	1431428.017
497	1431166.237
498	1431056.528
499	1430903.247
500	1430622.896
501	1430438.681
502	1430150.766
503	1429915.684
504	1429703.261
505	1429444.754
506	1429200.974
507	1429031.162
508	1428930.102
509	1428591.462
510	1428217.297
511	1428015.714
512	1427855.21
513	1427599.806
514	1427272.378
515	1427062.64
516	1426740.58
517	1426535.83
518	1426237.027
519	1426067.718
520	1425857.978
521	1425628.128
522	1425345.33
523	1425223.408
524	1424936.353
525	1424765.833
526	1424471.148
527	1424199.859
528	1423851.608
529	1423614.036
530	1423372.741
531	1423268.438
532	1423024.187
533	1422510.688
534	1422341.651
535	1421919.118
536	1421766.749
537	1421587.361
538	1421308.482
539	1421096.611
540	1421043.199
541	1420888.226
542	1420856.997
543	1420608.122
544	1420149.409
545	1419965.057
546	1419717.945
547	1419555.622
548	1419399.652
549	1419175.474
550	1419056.158
551	1418752.487
552	1418425.768
553	1418098.718
554	1417886.538
555	1417557.197
556	1417243.866
557	1417150.771
558	1417084
559	1416897.502
560	1416744.501
561	1416577.446
562	1416312.23
563	1416144.913
564	1416008.647
565	1415784.658
566	1415618.148
567	1415371.266
568	1415040.99
569	1414897.715
570	1414697.816
571	1414452.59
572	1414276.3
573	1414092.154
574	1413946.561
575	1413769.919
576	1413497.406
577	1413126.226
578	1412904.107
579	1412626.509
580	1412384.373
581	1412125.723
582	1411700.816
583	1411575.223
584	1411422.724
585	1411199.127
586	1410970.292
587	1410721.943
588	1410571.446
589	1410268.679
590	1409984.76
591	1409845.411
592	1409549.479
593	1409430.176
594	1409070.824
595	1408829.485
596	1408679.828
597	1408457.409
598	1408362.697
599	1408095.499
600	1407854.107
601	1407663.772
602	1407490.319
603	1407320.893
604	1407096.953
605	1406871.897
606	1406732.539
607	1406612.483
608	1406368.912
609	1406050.953
610	1405841.355
611	1405651.043
612	1405298.043
613	1405097.221
614	1404765.659
615	1404573.466
616	1404369.853
617	1404172.757
618	1403980.67
619	1403643.391
620	1403434.423
621	1403325.265
622	1403202.466
623	1403063.846
624	1402905.647
625	1402804.054
626	1402756.405
627	1402579.935
628	1402456.141
629	1402327.781
630	1402047.136
631	1401733.972
632	1401539.404
633	1401436.553
634	1401192.685
635	1400941.308
636	1400812.023
637	1400648.312
638	1400325.751
639	1399986.682
640	1399670.12
641	1399537.668
642	1399278.236
643	1399215.918
644	1399118.763
645	1399025.712
646	1398795.379
647	1398563.313
648	1398462.082
649	1398337.122
650	1398079.285
651	1397833.119
652	1397583.138
653	1397442.556
654	1397299.691
655	1397072.081
656	1396896.105
657	1396821.309
658	1396600.154
659	1396570.077
660	1396464.456
661	1396293.067
662	1396197.456
663	1395840.782
664	1395292.318
665	1394987.063
666	1394684.994
667	1394346.407
668	1394189.25
669	1394041.049
670	1393793.731
671	1393650.246
672	1393506.312
673	1393124.221
674	1392816.332
675	1392420.187
676	1392314.477
677	1392037.095
678	1391551.731
679	1391427.858
680	1391342.438
681	1391064.335
682	1390983.722
683	1390627.725
684	1390515.632
685	1390215.055
686	1390018.538
687	1389784.503
688	1389725.707
689	1389603.282
690	1389297.035
691	1389125.4
692	1388785.389
693	1388510.101
694	1388333.733
695	1388109.176
696	1387872.994
697	1387450.224
698	1387184.649
699	1386928.487
700	1386557.466
701	1386321.686
702	1386249.928
703	1385969.626
704	1385742.276
705	1385639.524
706	1385387.02
707	1385190.64
708	1384911.255
709	1384734.934
710	1384443.355
711	1384200.885
712	1384012.963
713	1383747.7
714	1383637.953
715	1383317.888
716	1382988.343
717	1382602.257
718	1382303.012
719	1382185.178
720	1382071.477
721	1381798.453
722	1381502.62
723	1381379.623
724	1381129.912
725	1380936.678
726	1380689.553
727	1380588.974
728	1380376.389
729	1380211.14
730	1380074.105
731	1379943.575
732	1379684.385
733	1379409.39
734	1379268.085
735	1379083.75
736	1378809.843
737	1378638.719
738	1378309.022
739	1378184.385
740	1377992.56
741	1377871.881
742	1377694.219
743	1377476.203
744	1377294.7
745	1377108.651
746	1376993.459
747	1376859.139
748	1376627.925
749	1376381.409
750	1376246.115
751	1376090.68
752	1376059.554
753	1375815.682
754	1375619.009
755	1375465.573
756	1374973.84
757	1374716.145
758	1374565.314
759	1374360.23
760	1374200.41
761	1373901.82
762	1373741.09
763	1373468.441
764	1373317.081
765	1373063.379
766	1372878.944
767	1372689.98
768	1372496.908
769	1372331.832
770	1372220.794
771	1372093.616
772	1371785.327
773	1371601.317
774	1371379.512
775	1371268.384
776	1371044.59
777	1370877.243
778	1370806.694
779	1370573.922
780	1370485.636
781	1370181.255
782	1369972.574
783	1369713.772
784	1369496.907
785	1369333.817
786	1369174.622
787	1369064.416
788	1368810.833
789	1368689.024
790	1368538.441
791	1368205.922
792	1368013.218
793	1367870.652
794	1367671.834
795	1367513.824
796	1367318.476
797	1367103.161
798	1367028.597
799	1366848.32
800	1366719.54
801	1366456.252
802	1366430.02
803	1366182.042
804	1366052.566
805	1365874.766
806	1365760.417
807	1365653.74
808	1365511.63
809	1365354.951
810	1365045.201
811	1364840.017
812	1364709.579
813	1364537.974
814	1364349.643
815	1364179.258
816	1364011.939
817	1363835.945
818	1363661.297
819	1363527.361
820	1363214.996
821	1363039.425
822	1362764.303
823	1362558.121
824	1362442.921
825	1362308.162
826	1362059.377
827	1361840.669
828	1361711.734
829	1361596.034
830	1361410.096
831	1361229.53
832	1361130.459
833	1360961.047
834	1360749.62
835	1360559.77
836	1360301.892
837	1360224.147
838	1360081.47
839	1359902.297
840	1359779.621
841	1359617.875
842	1359450.44
843	1359298.038
844	1359157.196
845	1359053.807
846	1358902.238
847	1358627.071
848	1358504.312
849	1358251.092
850	1357956.986
851	1357807.272
852	1357625.922
853	1357465.454
854	1357305.165
855	1357144.607
856	1357080.14
857	1356905.617
858	1356738.024
859	1356540.073
860	1356427.467
861	1356309.318
862	1356125.981
863	1355886.603
864	1355738.535
865	1355525.128
866	1355310.954
867	1355136.826
868	1354974.46
869	1354819.915
870	1354700.428
871	1354583.814
872	1354358.296
873	1354085.09
874	1353887.294
875	1353803.571
876	1353702.659
877	1353650.129
878	1353524.197
879	1353370.637
880	1353200.556
881	1352951.149
882	1352664.418
883	1352439.87
884	1352387.455
885	1352090.293
886	1351903.762
887	1351716.623
888	1351617.242
889	1351472.47
890	1351338.233
891	1351209.273
892	1351006.855
893	1350874.852
894	1350788.119
895	1350663.328
896	1350500.095
897	1350342.464
898	1350244.911
899	1350066.225
900	1349930.132
901	1349745.212
902	1349691.762
903	1349590.077
904	1349410.488
905	1349278.769
906	1349111.679
907	1348985.702
908	1348892.564
909	1348782.517
910	1348696.567
911	1348583.2
912	1348486.716
913	1348353.249
914	1348181.726
915	1348128.502
916	1347937.998
917	1347825.355
918	1347578.112
919	1347498.717
920	1347420.824
921	1347272.748
922	1346982.862
923	1346913.529
924	1346742.815
925	1346526.917
926	1346176.915
927	1345993
928	1345893.366
929	1345776.135
930	1345565.101
931	1345391.714
932	1345266.167
933	1345141.698
934	1344890.407
935	1344812.099
936	1344615.585
937	1344377.812
938	1344314.396
939	1344167.23
940	1344029.847
941	1343831.068
942	1343603.143
943	1343338.462
944	1343240.634
945	1342990.864
946	1342833.723
947	1342733.398
948	1342461.951
949	1342202.121
950	1342096.299
951	1342002.495
952	1341892.152
953	1341794.991
954	1341634.052
955	1341398.093
956	1341203.854
957	1340978.336
958	1340917.811
959	1340773.839
960	1340653.342
961	1340473.002
962	1340358.344
963	1340252.102
964	1340080.764
965	1339955.641
966	1339832.414
967	1339734.285
968	1339577.512
969	1339478.504
970	1339405.495
971	1339307.19
972	1339191.737
973	1339005.594
974	1338743.835
975	1338652.928
976	1338498.252
977	1338331.756
978	1338165.816
979	1337970.058
980	1337908.437
981	1337764.336
982	1337603.837
983	1337475.274
984	1337407.195
985	1337250.774
986	1337088.099
987	1337029.133
988	1336954.629
989	1336786.139
990	1336679.897
991	1336528.622
992	1336384.751
993	1336240.401
994	1336144.228
995	1336008.864
996	1335825.934
997	1335729.483
998	1335660.098
999	1335576.396
